,file_id_master_list,file_title_master_list,file_name_master_list,file_type_master_list,file_category_master_list
0,1B5vUhLfh8G_BOeGzHuH6qS7dd__aDySe,Quran Chapter 111 - Al Masad,Quran Chapter 111 - Al Masad,Audio,ALQuran_Chapter.txt
1,1AdmSVj9QB-HCIEqgfwuhkBXMDfLo4jnl,Quran Chapter 1 - Al Fatihah,Quran Chapter 1 - Al Fatihah,Audio,ALQuran_Chapter.txt
2,1BKvP84yeqsgShvIpk9W4jAXi3dlTvY9V,Quran Chapter 2 - Al Baqarah,Quran Chapter 2 - Al Baqarah,Audio,ALQuran_Chapter.txt
3,1CNIhFM9thDMF_L8HyXfjoyXS1Mp8VA-8,Quran Chapter 3 - Al Imran,Quran Chapter 3 - Al Imran,Audio,ALQuran_Chapter.txt
4,1CzpdGDZ2GFyT5HRToGxr3-2nFXc2C9W6,Quran Chapter 4 - An Nisa,Quran Chapter 4 - An Nisa,Audio,ALQuran_Chapter.txt
5,1DQaFMP7YAOBJT9_YittJd3E25rjqZXze,Quran Chapter 5 - Al Maidah,Quran Chapter 5 - Al Maidah,Audio,ALQuran_Chapter.txt
6,1ETz1ibGsD4z4EI0eLlTKyoE7D1Sd8jzn,Quran Chapter 6 - Al Anam,Quran Chapter 6 - Al Anam,Audio,ALQuran_Chapter.txt
7,1EVZNgHqjOGhL3mbGFlDlctPwecBPEqJ1,Quran Chapter 7 - Al Araf,Quran Chapter 7 - Al Araf,Audio,ALQuran_Chapter.txt
8,1EyozL_bMOkxzAZkyoUu8mtasXtqsHKPm,Quran Chapter 8 - Al Anfal,Quran Chapter 8 - Al Anfal,Audio,ALQuran_Chapter.txt
9,1FthyuLP-_B4gfKYdgP5Ua4Ob3MIZGDSE,Quran Chapter 9 - At Tawbah,Quran Chapter 9 - At Tawbah,Audio,ALQuran_Chapter.txt
10,1Aa0aX-y2rZECREoNiIP5j9hBos7ux4Gu,Quran Chapter 10 - Yunus,Quran Chapter 10 - Yunus,Audio,ALQuran_Chapter.txt
11,19yGMcTMy193y_GzhWRf0WG92m6uiFogp,Quran Chapter 11 - Hud,Quran Chapter 11 - Hud,Audio,ALQuran_Chapter.txt
12,1Axbl3s2dBWNVPoVG5HMyMSywACMkFL8s,Quran Chapter 12 - Yusuf,Quran Chapter 12 - Yusuf,Audio,ALQuran_Chapter.txt
13,1AoG_3tLi37ykVbWR1pW4RWney2Wz8Q7I,Quran Chapter 13 - Ar Rad,Quran Chapter 13 - Ar Rad,Audio,ALQuran_Chapter.txt
14,1AfFw-c6WJdvcUEZ48cRGRwLtl0f76u3t,Quran Chapter 14 - Ibrahim,Quran Chapter 14 - Ibrahim,Audio,ALQuran_Chapter.txt
15,1Ae6MeIARz77IMlsccccyPsQ1flnQlrUl,Quran Chapter 15 - Al Hijr,Quran Chapter 15 - Al Hijr,Audio,ALQuran_Chapter.txt
16,1BJgzoeBVmdhX56PG9i-RXFrxzXSvg7TE,Quran Chapter 16 - An Nahl,Quran Chapter 16 - An Nahl,Audio,ALQuran_Chapter.txt
17,1BHBDNbgdkmpqrJACN3rn-g85EkyF1vCf,Quran Chapter 17 - Al Isra,Quran Chapter 17 - Al Isra,Audio,ALQuran_Chapter.txt
18,1BGG8yuoF05Em-BOTYqk4YIXyYENPVYxl,Quran Chapter 18 - Al Kahf,Quran Chapter 18 - Al Kahf,Audio,ALQuran_Chapter.txt
19,1BO346nDLeWZ8wzMmGBNE215yjImzDZrC,Quran Chapter 19 - Maryam,Quran Chapter 19 - Maryam,Audio,ALQuran_Chapter.txt
20,1BmfOeqpvTKNkDGjUpVnIbJkyf_YiT9f-,Quran Chapter 20 - Ta Ha,Quran Chapter 20 - Ta Ha,Audio,ALQuran_Chapter.txt
21,1BarGlh1YTA0-8oX8-58J3bhYlpTiosgZ,Quran Chapter 21 - Al Anbiya,Quran Chapter 21 - Al Anbiya,Audio,ALQuran_Chapter.txt
22,1BR9lt5ayrpFqW8UG4t8U03pHOtPP9M8g,Quran Chapter 22 - Al Hajj,Quran Chapter 22 - Al Hajj,Audio,ALQuran_Chapter.txt
23,1BbZNgt9vUqhll0vsHDFcbfmZ7GQhqQd4,Quran Chapter 23 - Al Muminun,Quran Chapter 23 - Al Muminun,Audio,ALQuran_Chapter.txt
24,1ByOo9kUluku9WAyC_Ht2MPehpdT7Uax6,Quran Chapter 24 - An Nur,Quran Chapter 24 - An Nur,Audio,ALQuran_Chapter.txt
25,1C10Kb0Yd3AiEFvjQT8lBZhvkvYR98gxp,Quran Chapter 25 - Al Furqan,Quran Chapter 25 - Al Furqan,Audio,ALQuran_Chapter.txt
26,1BtNKaqaKJWnYnKNS8LJ6mx4nE4FWFtoa,Quran Chapter 26 - Ash Shuara,Quran Chapter 26 - Ash Shuara,Audio,ALQuran_Chapter.txt
27,1BqDK_K3t5LxS0mravQBxPSQyZUv3DuqC,Quran Chapter 27 - An Naml,Quran Chapter 27 - An Naml,Audio,ALQuran_Chapter.txt
28,1C9JkZ4Q2wYIhPkeF46v01PPqvEu9ygOl,Quran Chapter 28 - Al Qasas,Quran Chapter 28 - Al Qasas,Audio,ALQuran_Chapter.txt
29,1C6PuNw-HBIj2zFUfggtNgOYgBjYqMIYb,Quran Chapter 29 - Al Ankabut,Quran Chapter 29 - Al Ankabut,Audio,ALQuran_Chapter.txt
30,1CICscbC-IIDGKMr_KBlhCjPfvA7xQLDc,Quran Chapter 30 - Ar Rum,Quran Chapter 30 - Ar Rum,Audio,ALQuran_Chapter.txt
31,1CT2yXMPLBWmtSRzEHUE6JZoFleBK5dMT,Quran Chapter 31 - Luqman,Quran Chapter 31 - Luqman,Audio,ALQuran_Chapter.txt
32,1COd3vllaKUW6dw8WV9aPsIYjoDEiTXmY,Quran Chapter 32 - As Sajdah,Quran Chapter 32 - As Sajdah,Audio,ALQuran_Chapter.txt
